epoch,accuracy,loss,val_accuracy,val_loss
0,0.3672848045825958,1.3239822387695312,0.4438040256500244,1.299890398979187
1,0.6548574566841125,0.9884594678878784,0.6224783658981323,0.9553691148757935
2,0.7932466268539429,0.5820561647415161,0.6945244669914246,0.8142839074134827
3,0.8447273969650269,0.41199785470962524,0.6945244669914246,0.8114197254180908
4,0.8845834732055664,0.32003724575042725,0.6657060384750366,0.8526259660720825
5,0.9136451482772827,0.25645551085472107,0.6945244669914246,0.8787950873374939
6,0.9283144474029541,0.2152562290430069,0.6743515729904175,0.947296679019928
7,0.9443675875663757,0.17434391379356384,0.6743515729904175,0.976687490940094
8,0.9540547728538513,0.15249519050121307,0.6657060384750366,1.0874160528182983
9,0.9626349210739136,0.13097260892391205,0.6628242135047913,1.123915672302246
10,0.9670633673667908,0.1166345626115799,0.6657060384750366,1.159395456314087
11,0.9681705236434937,0.10466280579566956,0.6484149694442749,1.3131048679351807
12,0.9709382653236389,0.09718184918165207,0.6599423885345459,1.2641820907592773
13,0.9723221659660339,0.09540801495313644,0.6628242135047913,1.3199880123138428
14,0.9725989699363708,0.08610009402036667,0.6541786789894104,1.3386852741241455
15,0.973429262638092,0.08683231472969055,0.6628242135047913,1.4014880657196045
16,0.9753667116165161,0.07414774596691132,0.6570605039596558,1.4175763130187988
17,0.9759202599525452,0.07699804753065109,0.6541786789894104,1.452466368675232
18,0.9773041605949402,0.07010631263256073,0.651296854019165,1.4759191274642944
19,0.9761970639228821,0.07190485298633575,0.6657060384750366,1.509066104888916
20,0.9773041605949402,0.0690200999379158,0.6541786789894104,1.4901293516159058
21,0.9775809645652771,0.06479083746671677,0.6541786789894104,1.557616114616394
22,0.977027416229248,0.06509564816951752,0.6570605039596558,1.6093180179595947
23,0.9781345129013062,0.06216219812631607,0.6570605039596558,1.6209872961044312
24,0.977027416229248,0.0674571618437767,0.6685879230499268,1.5957467555999756
